PDSFD_1000_02_FDJ_20CGB01-MW,PDSFD_1000_02_GJ_02_DT2g,PDSFD_1000_02_GJ_02_DT3g,PDSFD_1000_02_GJ_02_Tdc1gs,PDSFD_1000_02_GJ_02_Tdc1gx,PDSFD_1000_02_GJ_02_Tdc2gs,PDSFD_1000_02_GJ_02_Tdc2gx,PDSFD_1000_02_GJ_02_Tdc3gs,PDSFD_1000_02_GJ_02_Tdc3gx,PDSFD_1000_02_GJ_20LAB50CT611,PDSFD_1000_02_GJ_20LAB60CT601,PDSFD_1000_02_GJ_20LCH21ZZ101-ZT,PDSFD_1000_02_GJ_20LCH31ZZ101-ZT,PDSFD_1000_02_GSB_20LAB40CT601,PDSFD_1000_02_GS_20LAB70CT601
843.8209,51.80368,31.31455,-4.665917,8.870049,-1.40767,3.388096,-2.073355,8.860115,202.378,254.1473,76.66168,75.27052,170.9985,285.4093
837.2914,51.65089,31.31581,-4.562635,8.983232,-1.270601,3.354747,-2.462651,8.83058,202.0775,253.743,76.23748,75.44228,170.7615,284.9721
835.8999,51.74663,31.37861,-4.419967,8.783051,-1.310539,3.32262,-2.244712,8.863727,201.777,253.5514,76.46637,75.22166,170.309,284.7041
834.8295,51.89816,31.45524,-4.268457,8.437285,-1.19563,3.290767,-2.062856,8.910945,201.498,253.4025,76.27869,75.08295,170.0072,284.4713
835.0436,51.98678,31.59171,-4.284748,8.190206,-1.157748,3.238114,-1.973624,8.835737,201.3907,253.4025,76.76238,75.81725,169.8564,284.4502
834.4014,52.06129,31.74162,-4.338708,7.988925,-1.164311,3.180791,-1.671969,8.733047,201.3263,253.4025,76.21613,75.25791,169.5547,284.5242
831.9394,52.01709,31.83146,-4.428003,7.846772,-1.264407,3.169327,-2.046146,8.573341,201.3263,253.4025,76.14593,75.61877,169.5547,284.556
827.1226,51.94321,31.90627,-4.591316,7.7194,-1.387886,3.169327,-1.913685,8.459417,201.3048,253.2322,76.17798,74.90324,169.4038,284.4502
816.6326,51.81391,31.68924,-4.880625,8.019861,-1.610903,3.203045,-2.206921,8.372538,201.0257,252.7001,76.03301,75.33513,169.2529,283.7972
812.6721,51.66929,31.39148,-4.701013,8.284053,-1.502443,3.24609,-2.498407,8.251136,200.6179,252.2531,75.85601,74.48698,169.2098,283.1169
812.244,51.57939,31.38028,-4.556781,8.24113,-1.419791,3.116677,-2.25242,8.24465,200.4461,251.9124,75.67901,74.82127,168.9512,282.9688
810.3173,51.50615,31.45629,-4.483041,8.126544,-1.344993,2.934777,-2.094335,8.273138,200.2744,251.7634,76.2146,74.58788,168.8003,282.6725
809.1934,51.60929,31.53486,-4.404777,7.883451,-1.243659,2.906268,-2.031217,8.3026,199.9738,251.6144,75.85144,75.01833,168.4986,282.5243
810.1031,51.76611,31.6142,-4.325135,7.601245,-1.134248,2.924443,-1.864621,8.332358,199.9738,251.7634,76.38092,74.73611,168.3477,282.6725
805.8751,51.72787,31.6902,-4.564048,7.633396,-1.336607,2.99787,-2.21261,8.360895,199.9738,251.6144,75.81329,74.86541,168.1752,282.5596
798.4358,51.65522,31.76561,-4.775725,7.721022,-1.541813,3.081047,-2.283072,8.389216,199.7806,251.3163,75.64697,74.51536,167.895,282.0268
794.1006,51.45938,31.65397,-4.66003,7.820117,-1.402385,2.999555,-2.63677,8.23051,199.5229,250.7201,75.33569,73.94753,167.895,281.4517
798.4358,51.23889,31.50491,-4.423536,7.921506,-1.195872,2.885129,-2.193307,8.034397,199.3726,250.5711,75.39673,73.4521,167.895,281.3388
793.619,51.19898,31.60003,-4.518704,7.836246,-1.348288,2.871232,-2.368566,8.074998,199.3726,250.7201,75.20905,74.02956,167.5932,281.4587
789.6584,51.19961,31.74997,-5.008036,7.709087,-1.54573,2.879903,-2.533595,8.168736,199.2223,250.422,74.09363,73.27378,167.4423,280.7459
790.3007,51.02937,31.77995,-4.286496,7.751049,-1.209773,2.881638,-2.253707,8.137273,199.3726,250.5711,74.1928,71.92896,167.4423,281.0423
777.5629,50.81642,31.77995,-5.272158,7.835292,-1.787601,2.881638,-3.033769,8.074509,199.2223,250.1026,73.83881,71.92265,167.4423,280.28
779.6501,50.69944,31.67038,-4.730876,8.028986,-1.726658,2.803803,-2.969462,8.014519,198.9217,249.4211,73.84185,70.86022,167.4423,279.7082
