JT_KFFD_630_01_0100001_1DCSOPC_AI02154,JT_KFFD_630_01_0601212_1DCSOPC_AI01064,JT_KFFD_630_01_0603201_1DCSOPC_AI01116,JT_KFFD_630_01_0603202_1DCSOPC_AI01143,JT_KFFD_630_01_0603203_1DCSOPC_AI01144,JT_KFFD_630_01_0603205_1DCSOPC_AI01131,JT_KFFD_630_01_0603207_1DCSOPC_AI01141,JT_KFFD_630_01_0603209_1DCSOPC_AI01126,JT_KFFD_630_01_0603235_1DCSOPC_AI01129
317.3956,18.39468,336.4868,1.234322,1.389694,57.96521,52.43179,55.60477,60.53053
316.618,18.32535,335.2674,1.219292,1.349602,57.98474,52.42673,55.60623,60.49245
316.4362,18.69803,335.5942,1.219292,1.389694,57.9711,52.42047,55.60806,60.46295
315.5172,18.8251,335.9539,1.259384,1.394691,57.96582,52.43219,55.62271,60.66415
314.9246,18.72641,336.4067,1.214905,1.384659,57.9696,52.43304,55.6008,60.79521
315.4842,18.9725,336.1511,1.254349,1.384659,57.96356,52.44031,55.61182,60.4126
315.5351,19.10452,336.2996,1.204262,1.376468,57.96286,52.43762,55.5961,60.51775
315.4842,18.90855,335.4919,1.244984,1.394691,57.97122,52.42892,55.60272,59.75189
314.5248,18.68945,333.7387,1.204891,1.354599,57.94971,52.43121,55.58862,59.48486
314.583,18.77667,333.0841,1.204891,1.345215,57.95474,52.42148,55.5936,59.57794
313.3329,18.90173,332.5882,1.219292,1.354599,57.93677,52.42572,55.58441,59.38568
311.3634,19.00586,332.6111,1.189232,1.345215,57.95721,52.42776,55.61163,59.18427
311.4215,19.00617,331.4117,1.209278,1.329536,57.95248,52.42792,55.59811,58.96759
312.0829,19.11502,330.8868,1.184216,1.344566,57.96442,52.42706,55.58939,58.93402
311.0114,19.24819,330.7615,1.184216,1.349602,57.96741,52.43134,55.59863,58.93402
310.4864,19.0434,328.5858,1.189842,1.309509,57.95499,52.42374,55.6066,58.00629
312.4317,18.79187,327.6117,1.206676,1.324539,57.94336,52.41879,55.60632,57.78046
311.9521,18.66772,322.2395,1.189232,1.300169,57.96393,52.42896,55.58829,57.17926
311.4215,19.13506,322.8149,1.184216,1.304464,57.96301,52.42609,55.60849,57.38068
309.9898,19.68803,323.5049,1.189842,1.334534,57.94754,52.40942,55.60715,57.67779
311.5124,20.04669,323.9258,1.209888,1.314507,57.96643,52.42514,55.59897,57.71423
312.1865,20.11838,325.0656,1.209278,1.32515,57.95844,52.41647,55.59332,57.69806
309.3662,19.85528,324.7223,1.179199,1.319504,57.96078,52.42191,55.59509,57.9095
309.2703,19.48715,323.8144,1.189842,1.319504,57.96088,52.40173,55.60651,57.55615
309.5683,19.35785,325.0656,1.209278,1.309509,57.98358,52.40491,55.59833,58.05664
309.5101,19.10605,323.5652,1.209278,1.314507,57.95016,52.40616,55.58273,57.70569
310.2296,18.97546,324.6028,1.209888,1.324959,57.96835,52.39426,55.61377,58.02307
309.9418,18.39384,324.1577,1.204262,1.329731,57.94522,52.39658,55.58017,57.89856
311.3634,18.11093,325.9449,1.209278,1.329536,57.94708,52.39087,55.59375,58.67958
